"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 02 02:21:52 MSK 2022","Mon May 02 02:21:52 MSK 2022","510","","OrderCreationTest","","OrderCreationTest","successfulOrderCreationWithDifferentColors[3]","successfulOrderCreationWithDifferentColors[3]",""
"passed","Mon May 02 02:21:52 MSK 2022","Mon May 02 02:21:52 MSK 2022","412","","CourierTest","","CourierTest","happyPass","happyPass",""
"passed","Mon May 02 02:22:57 MSK 2022","Mon May 02 02:22:59 MSK 2022","2290","","OrderListTest","","OrderListTest","successfulOrderListRequest","successfulOrderListRequest",""
"passed","Mon May 02 02:21:53 MSK 2022","Mon May 02 02:21:53 MSK 2022","906","","CourierTest","","CourierTest","shouldNotBePossibleToCreateTwoIdenticalCouriers","shouldNotBePossibleToCreateTwoIdenticalCouriers",""
"passed","Mon May 02 02:21:51 MSK 2022","Mon May 02 02:21:51 MSK 2022","370","","OrderCreationTest","","OrderCreationTest","successfulOrderCreationWithDifferentColors[1]","successfulOrderCreationWithDifferentColors[1]",""
"passed","Mon May 02 02:21:51 MSK 2022","Mon May 02 02:21:52 MSK 2022","505","","OrderCreationTest","","OrderCreationTest","successfulOrderCreationWithDifferentColors[2]","successfulOrderCreationWithDifferentColors[2]",""
"passed","Mon May 02 02:21:55 MSK 2022","Mon May 02 02:21:55 MSK 2022","407","","CourierAuthorizationTest","","CourierAuthorizationTest","unsuccessfulAuthForNonExistingCourier","unsuccessfulAuthForNonExistingCourier",""
"passed","Mon May 02 02:21:47 MSK 2022","Mon May 02 02:21:51 MSK 2022","3890","","OrderCreationTest","","OrderCreationTest","successfulOrderCreationWithDifferentColors[0]","successfulOrderCreationWithDifferentColors[0]",""
"broken","Mon May 02 02:21:55 MSK 2022","Mon May 02 02:22:56 MSK 2022","60940","","CourierAuthorizationTest","","CourierAuthorizationTest","unsuccessfulAuthWithoutAllFields","unsuccessfulAuthWithoutAllFields",""
"passed","Mon May 02 02:21:55 MSK 2022","Mon May 02 02:21:55 MSK 2022","408","","CourierAuthorizationTest","","CourierAuthorizationTest","successfulAuth","successfulAuth",""
"passed","Mon May 02 02:21:53 MSK 2022","Mon May 02 02:21:54 MSK 2022","814","","CourierTest","","CourierTest","courierCannotBeCreatedWithoutAllMandatoryFields","courierCannotBeCreatedWithoutAllMandatoryFields",""
